name	strand	Assay title	ontology_curie	biosample_name	biosample_type	biosample_life_stage	data_source	endedness	genetically_modified	nonzero_mean	output_type	gtex_tissue	histone_mark	transcription_factor
EFO:0010848 ATAC-seq	.	ATAC-seq	EFO:0010848	HG02763	cell_line	adult	encode	paired	False	1.718657374382019	OutputType.ATAC			
EFO:0010850 ATAC-seq	.	ATAC-seq	EFO:0010850	HG02840	cell_line	adult	encode	paired	False	1.8972817659378052	OutputType.ATAC			
EFO:0010851 ATAC-seq	.	ATAC-seq	EFO:0010851	HG02852	cell_line	adult	encode	paired	False	1.8264821767807007	OutputType.ATAC			
EFO:0010852 ATAC-seq	.	ATAC-seq	EFO:0010852	HG02870	cell_line	adult	encode	paired	False	1.808053970336914	OutputType.ATAC			
EFO:0010853 ATAC-seq	.	ATAC-seq	EFO:0010853	HG02884	cell_line	adult	encode	paired	False	2.4083950519561768	OutputType.ATAC			
EFO:0010855 ATAC-seq	.	ATAC-seq	EFO:0010855	HG02938	cell_line	adult	encode	paired	False	2.012936592102051	OutputType.ATAC			
EFO:0010856 ATAC-seq	.	ATAC-seq	EFO:0010856	HG02943	cell_line	adult	encode	paired	False	2.342193603515625	OutputType.ATAC			
EFO:0010857 ATAC-seq	.	ATAC-seq	EFO:0010857	HG02970	cell_line	adult	encode	paired	False	1.6933996677398682	OutputType.ATAC			
EFO:0010858 ATAC-seq	.	ATAC-seq	EFO:0010858	HG02973	cell_line	adult	encode	paired	False	1.6970741748809814	OutputType.ATAC			
EFO:0010859 ATAC-seq	.	ATAC-seq	EFO:0010859	HG02981	cell_line	adult	encode	paired	False	1.7394976615905762	OutputType.ATAC			
EFO:0010860 ATAC-seq	.	ATAC-seq	EFO:0010860	HG03025	cell_line	adult	encode	paired	False	2.08929181098938	OutputType.ATAC			
EFO:0010861 ATAC-seq	.	ATAC-seq	EFO:0010861	HG03039	cell_line	adult	encode	paired	False	1.887401819229126	OutputType.ATAC			
EFO:0010862 ATAC-seq	.	ATAC-seq	EFO:0010862	HG03045	cell_line	adult	encode	paired	False	1.4358277320861816	OutputType.ATAC			
EFO:0010863 ATAC-seq	.	ATAC-seq	EFO:0010863	HG03060	cell_line	adult	encode	paired	False	2.9752275943756104	OutputType.ATAC			
EFO:0010864 ATAC-seq	.	ATAC-seq	EFO:0010864	HG03064	cell_line	adult	encode	paired	False	2.4102463722229004	OutputType.ATAC			
EFO:0010865 ATAC-seq	.	ATAC-seq	EFO:0010865	HG03066	cell_line	adult	encode	paired	False	3.017244577407837	OutputType.ATAC			
EFO:0010866 ATAC-seq	.	ATAC-seq	EFO:0010866	HG03095	cell_line	adult	encode	paired	False	1.8795949220657349	OutputType.ATAC			
EFO:0010867 ATAC-seq	.	ATAC-seq	EFO:0010867	HG03097	cell_line	adult	encode	paired	False	1.5082517862319946	OutputType.ATAC			
EFO:0010868 ATAC-seq	.	ATAC-seq	EFO:0010868	HG03103	cell_line	adult	encode	paired	False	2.6086442470550537	OutputType.ATAC			
EFO:0010869 ATAC-seq	.	ATAC-seq	EFO:0010869	HG03108	cell_line	adult	encode	paired	False	2.047980546951294	OutputType.ATAC			
EFO:0010870 ATAC-seq	.	ATAC-seq	EFO:0010870	HG03135	cell_line	adult	encode	paired	False	1.6855212450027466	OutputType.ATAC			
EFO:0010871 ATAC-seq	.	ATAC-seq	EFO:0010871	HG03139	cell_line	adult	encode	paired	False	2.3533685207366943	OutputType.ATAC			
EFO:0010872 ATAC-seq	.	ATAC-seq	EFO:0010872	HG03159	cell_line	adult	encode	paired	False	1.4590009450912476	OutputType.ATAC			
EFO:0010873 ATAC-seq	.	ATAC-seq	EFO:0010873	HG03175	cell_line	adult	encode	paired	False	1.2928885221481323	OutputType.ATAC			
EFO:0010874 ATAC-seq	.	ATAC-seq	EFO:0010874	HG03196	cell_line	adult	encode	paired	False	1.3755143880844116	OutputType.ATAC			
EFO:0010875 ATAC-seq	.	ATAC-seq	EFO:0010875	HG03280	cell_line	adult	encode	paired	False	1.638237476348877	OutputType.ATAC			
EFO:0010876 ATAC-seq	.	ATAC-seq	EFO:0010876	HG03342	cell_line	adult	encode	paired	False	1.416108250617981	OutputType.ATAC			
EFO:0010878 ATAC-seq	.	ATAC-seq	EFO:0010878	HG03378	cell_line	adult	encode	paired	False	1.1888407468795776	OutputType.ATAC			
EFO:0010879 ATAC-seq	.	ATAC-seq	EFO:0010879	HG03432	cell_line	adult	encode	paired	False	0.9875123500823975	OutputType.ATAC			
EFO:0010880 ATAC-seq	.	ATAC-seq	EFO:0010880	HG03439	cell_line	adult	encode	paired	False	1.4904228448867798	OutputType.ATAC			
EFO:0010881 ATAC-seq	.	ATAC-seq	EFO:0010881	HG03442	cell_line	adult	encode	paired	False	1.7023717164993286	OutputType.ATAC			
EFO:0010882 ATAC-seq	.	ATAC-seq	EFO:0010882	HG03457	cell_line	adult	encode	paired	False	2.2997376918792725	OutputType.ATAC			
EFO:0010883 ATAC-seq	.	ATAC-seq	EFO:0010883	HG03460	cell_line	adult	encode	paired	False	2.209341287612915	OutputType.ATAC			
EFO:0010884 ATAC-seq	.	ATAC-seq	EFO:0010884	HG03469	cell_line	adult	encode	paired	False	2.4358503818511963	OutputType.ATAC			
EFO:0010885 ATAC-seq	.	ATAC-seq	EFO:0010885	HG03520	cell_line	adult	encode	paired	False	2.1533608436584473	OutputType.ATAC			
EFO:0010886 ATAC-seq	.	ATAC-seq	EFO:0010886	HG03521	cell_line	adult	encode	paired	False	2.1313838958740234	OutputType.ATAC			
EFO:0010888 ATAC-seq	.	ATAC-seq	EFO:0010888	HG03565	cell_line	adult	encode	paired	False	1.8451646566390991	OutputType.ATAC			
EFO:0010889 ATAC-seq	.	ATAC-seq	EFO:0010889	HG03571	cell_line	adult	encode	paired	False	1.9630107879638672	OutputType.ATAC			
NTR:0000491 ATAC-seq	.	ATAC-seq	NTR:0000491	Right ventricle myocardium inferior	tissue	adult	encode	paired	False	0.9412150382995605	OutputType.ATAC			
NTR:0000492 ATAC-seq	.	ATAC-seq	NTR:0000492	Right ventricle myocardium superior	tissue	adult	encode	paired	False	0.7204328179359436	OutputType.ATAC			
NTR:0000494 ATAC-seq	.	ATAC-seq	NTR:0000494	left ventricle myocardium superior	tissue	adult	encode	paired	False	0.427097350358963	OutputType.ATAC			
UBERON:0000056 ATAC-seq	.	ATAC-seq	UBERON:0000056	ureter	tissue	adult	encode	paired	False	0.48642194271087646	OutputType.ATAC			
UBERON:0000317 ATAC-seq	.	ATAC-seq	UBERON:0000317	colonic mucosa	tissue	adult	encode	paired	False	0.2913193702697754	OutputType.ATAC			
UBERON:0000945 ATAC-seq	.	ATAC-seq	UBERON:0000945	stomach	tissue	adult	encode	paired	False	1.1229300498962402	OutputType.ATAC			
UBERON:0000992 ATAC-seq	.	ATAC-seq	UBERON:0000992	ovary	tissue	adult	encode	paired	False	0.14541088044643402	OutputType.ATAC			
UBERON:0000995 ATAC-seq	.	ATAC-seq	UBERON:0000995	uterus	tissue	adult	encode	paired	False	0.3675922751426697	OutputType.ATAC			
UBERON:0001072 ATAC-seq	.	ATAC-seq	UBERON:0001072	posterior vena cava	tissue	adult	encode	paired	False	0.3368026912212372	OutputType.ATAC			
UBERON:0001114 ATAC-seq	.	ATAC-seq	UBERON:0001114	right lobe of liver	tissue	adult	encode	paired	False	0.5050563216209412	OutputType.ATAC			
UBERON:0001115 ATAC-seq	.	ATAC-seq	UBERON:0001115	left lobe of liver	tissue	adult	encode	paired	False	0.3790719211101532	OutputType.ATAC			
UBERON:0001150 ATAC-seq	.	ATAC-seq	UBERON:0001150	body of pancreas	tissue	adult	encode	paired	False	1.4392449855804443	OutputType.ATAC			
UBERON:0001157 ATAC-seq	.	ATAC-seq	UBERON:0001157	transverse colon	tissue	adult	encode	paired	False	1.2739818096160889	OutputType.ATAC			
UBERON:0001159 ATAC-seq	.	ATAC-seq	UBERON:0001159	sigmoid colon	tissue	adult	encode	paired	False	1.3383288383483887	OutputType.ATAC			
UBERON:0001259 ATAC-seq	.	ATAC-seq	UBERON:0001259	mucosa of urinary bladder	tissue	adult	encode	paired	False	0.6834927201271057	OutputType.ATAC			
UBERON:0001264 ATAC-seq	.	ATAC-seq	UBERON:0001264	pancreas	tissue	adult	encode	paired	False	0.28255096077919006	OutputType.ATAC			
UBERON:0001322 ATAC-seq	.	ATAC-seq	UBERON:0001322	sciatic nerve	tissue	adult	encode	paired	False	0.6590536236763	OutputType.ATAC			
UBERON:0002046 ATAC-seq	.	ATAC-seq	UBERON:0002046	thyroid gland	tissue	adult	encode	paired	False	1.391801118850708	OutputType.ATAC			
UBERON:0002048 ATAC-seq	.	ATAC-seq	UBERON:0002048	lung	tissue	adult	encode	paired	False	2.9806368350982666	OutputType.ATAC			
UBERON:0002078 ATAC-seq	.	ATAC-seq	UBERON:0002078	right cardiac atrium	tissue	adult	encode	paired	False	0.2509532570838928	OutputType.ATAC			
UBERON:0002079 ATAC-seq	.	ATAC-seq	UBERON:0002079	left cardiac atrium	tissue	adult	encode	paired	False	0.32439956068992615	OutputType.ATAC			
UBERON:0002080 ATAC-seq	.	ATAC-seq	UBERON:0002080	heart right ventricle	tissue	adult	encode	paired	False	0.1907806694507599	OutputType.ATAC			
UBERON:0002084 ATAC-seq	.	ATAC-seq	UBERON:0002084	heart left ventricle	tissue	adult	encode	paired	False	0.23439067602157593	OutputType.ATAC			
UBERON:0002099 ATAC-seq	.	ATAC-seq	UBERON:0002099	cardiac septum	tissue	adult	encode	paired	False	1.774492621421814	OutputType.ATAC			
UBERON:0002106 ATAC-seq	.	ATAC-seq	UBERON:0002106	spleen	tissue	adult	encode	paired	False	0.18534542620182037	OutputType.ATAC			
UBERON:0002107 ATAC-seq	.	ATAC-seq	UBERON:0002107	liver	tissue	adult	encode	paired	False	0.3416995704174042	OutputType.ATAC			
UBERON:0002113 ATAC-seq	.	ATAC-seq	UBERON:0002113	kidney	tissue	adult	encode	paired	False	0.40251538157463074	OutputType.ATAC			
UBERON:0002168 ATAC-seq	.	ATAC-seq	UBERON:0002168	left lung	tissue	child	encode	paired	False	0.4284360408782959	OutputType.ATAC			
UBERON:0002170 ATAC-seq	.	ATAC-seq	UBERON:0002170	upper lobe of right lung	tissue	adult	encode	paired	False	0.2896386384963989	OutputType.ATAC			
UBERON:0002171 ATAC-seq	.	ATAC-seq	UBERON:0002171	lower lobe of right lung	tissue	adult	encode	paired	False	0.2252897024154663	OutputType.ATAC			
UBERON:0002190 ATAC-seq	.	ATAC-seq	UBERON:0002190	subcutaneous adipose tissue	tissue	adult	encode	paired	False	0.9239097833633423	OutputType.ATAC			
UBERON:0002369 ATAC-seq	.	ATAC-seq	UBERON:0002369	adrenal gland	tissue	adult	encode	paired	False	0.9822091460227966	OutputType.ATAC			
UBERON:0002394 ATAC-seq	.	ATAC-seq	UBERON:0002394	bile duct	tissue	adult	encode	paired	False	0.4307073652744293	OutputType.ATAC			
UBERON:0002469 ATAC-seq	.	ATAC-seq	UBERON:0002469	esophagus mucosa	tissue	adult	encode	paired	False	0.3933384418487549	OutputType.ATAC			
UBERON:0003889 ATAC-seq	.	ATAC-seq	UBERON:0003889	fallopian tube	tissue	adult	encode	paired	False	0.25850507616996765	OutputType.ATAC			
UBERON:0004550 ATAC-seq	.	ATAC-seq	UBERON:0004550	gastroesophageal sphincter	tissue	adult	encode	paired	False	0.9912630915641785	OutputType.ATAC			
UBERON:0004992 ATAC-seq	.	ATAC-seq	UBERON:0004992	mucosa of descending colon	tissue	adult	encode	paired	False	0.2983551621437073	OutputType.ATAC			
UBERON:0005033 ATAC-seq	.	ATAC-seq	UBERON:0005033	mucosa of gallbladder	tissue	child	encode	paired	False	0.8860199451446533	OutputType.ATAC			
UBERON:0007610 ATAC-seq	.	ATAC-seq	UBERON:0007610	tibial artery	tissue	adult	encode	paired	False	1.0918642282485962	OutputType.ATAC			
UBERON:0008367 ATAC-seq	.	ATAC-seq	UBERON:0008367	breast epithelium	tissue	adult	encode	paired	False	0.5911307334899902	OutputType.ATAC			
UBERON:0008450 ATAC-seq	.	ATAC-seq	UBERON:0008450	psoas muscle	tissue	adult	encode	paired	False	0.6796603798866272	OutputType.ATAC			
UBERON:0008952 ATAC-seq	.	ATAC-seq	UBERON:0008952	upper lobe of left lung	tissue	adult	encode	paired	False	0.31991297006607056	OutputType.ATAC			
UBERON:0008953 ATAC-seq	.	ATAC-seq	UBERON:0008953	lower lobe of left lung	tissue	adult	encode	paired	False	0.3122468590736389	OutputType.ATAC			
UBERON:0008971 ATAC-seq	.	ATAC-seq	UBERON:0008971	left colon	tissue	adult	encode	paired	False	0.6758714914321899	OutputType.ATAC			
UBERON:0010414 ATAC-seq	.	ATAC-seq	UBERON:0010414	omental fat pad	tissue	adult	encode	paired	False	1.1185219287872314	OutputType.ATAC			
UBERON:0011907 ATAC-seq	.	ATAC-seq	UBERON:0011907	gastrocnemius medialis	tissue	adult	encode	paired	False	0.8114848732948303	OutputType.ATAC			
UBERON:0015143 ATAC-seq	.	ATAC-seq	UBERON:0015143	mesenteric fat pad	tissue	adult	encode	paired	False	0.4202614426612854	OutputType.ATAC			
LQhCAGE CL:0000077	+	LQhCAGE	CL:0000077	mesothelial cell	primary_cell		fantom			272.4184265136719	OutputType.CAGE			
LQhCAGE CL:0000136	+	LQhCAGE	CL:0000136	fat cell	primary_cell		fantom			41.71626663208008	OutputType.CAGE			
LQhCAGE CL:0000767	+	LQhCAGE	CL:0000767	basophil	primary_cell		fantom			59.45576095581055	OutputType.CAGE			
LQhCAGE CL:0000771	+	LQhCAGE	CL:0000771	eosinophil	primary_cell		fantom			119.22451782226562	OutputType.CAGE			
LQhCAGE CL:0000775	+	LQhCAGE	CL:0000775	neutrophil	primary_cell		fantom			339.38720703125	OutputType.CAGE			
LQhCAGE CL:0000784	+	LQhCAGE	CL:0000784	plasmacytoid dendritic cell	primary_cell		fantom			103.1607666015625	OutputType.CAGE			
LQhCAGE CL:0000840	+	LQhCAGE	CL:0000840	immature conventional dendritic cell	primary_cell		fantom			826.5433959960938	OutputType.CAGE			
LQhCAGE CL:0000895	+	LQhCAGE	CL:0000895	naive thymus-derived CD4-positive, alpha-beta T cell	primary_cell		fantom			91.95846557617188	OutputType.CAGE			
LQhCAGE CL:0002092	+	LQhCAGE	CL:0002092	bone marrow cell	primary_cell		fantom			112.50702667236328	OutputType.CAGE			
LQhCAGE CL:0002166	+	LQhCAGE	CL:0002166	epithelial cell of Malassez	primary_cell		fantom			278.642333984375	OutputType.CAGE			
LQhCAGE CL:0002167	+	LQhCAGE	CL:0002167	olfactory epithelial cell	primary_cell		fantom			78.36111450195312	OutputType.CAGE			
LQhCAGE CL:0002193	+	LQhCAGE	CL:0002193	myelocyte	primary_cell		fantom			242.18133544921875	OutputType.CAGE			
LQhCAGE CL:0002397	+	LQhCAGE	CL:0002397	CD14-positive, CD16-positive monocyte	primary_cell		fantom			75.36024475097656	OutputType.CAGE			
LQhCAGE CL:0002677	+	LQhCAGE	CL:0002677	naive regulatory T cell	primary_cell		fantom			60.0953369140625	OutputType.CAGE			
